revenue,qg_naics2022,qg_dandbstandardindustrycode,statuscode
0.0,787,4024,777040002
215881948.0,169,841,777040001
8678362.0,151,718,777040002
3338299.0,173,834,777040002
6626209.0,247,1424,777040002
6277087.0,476,2997,777040002
16012082.0,253,1435,777040002
473050.0,686,4183,777040002
250000.0,86,358,777040002
7489290.0,437,2566,777040002
2201032.0,71,225,777040002
0.0,720,3640,2
215881948.0,891,4418,777040002
1914183.0,90,306,777040002
4631921.0,386,2143,777040002
0.0,649,3603,777040002
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,4418,777040001
215881948.0,891,4418,2
215881948.0,651,3608,777040001
215881948.0,891,4418,2
215881948.0,891,4418,2
215881948.0,891,2767,777040002
215881948.0,891,4418,2
215881948.0,442,2603,777040001
2799503.0,537,3298,777040002
11706921.0,138,605,777040002
9785000.0,64,2471,777040002
84543024.0,865,4315,777040002
0.0,865,4315,777040002
109504876.0,865,4315,777040002
0.0,865,4310,777040002
0.0,865,4310,777040002
0.0,865,4315,777040002
0.0,881,4381,777040002
0.0,865,4315,777040002
0.0,870,4336,777040002
0.0,865,4315,777040002
0.0,865,4315,777040002
0.0,865,4315,777040002
7382355200.0,504,3290,777040002
1983095.0,248,1407,777040002
20571000.0,394,2084,777040002
90894257.0,732,3803,777040002
23252057.0,212,1098,777040002
65411000.0,212,1098,777040002
5063000.0,698,4241,777040002
3652648.0,530,3383,777040002
5080101000.0,698,4241,777040002
5012000.0,621,2462,777040002
959000.0,633,3512,777040002
30389000.0,212,1098,777040000
24816406.0,836,3887,777040002
10658053.0,732,3803,777040002
30423868.0,363,2184,777040002
66616498.0,722,3744,777040002
21656185.0,694,3757,777040002
390955000.0,732,3803,777040002
16708292.0,619,2440,777040002
16638065.0,708,3692,777040002
3802210.0,601,3943,777040002
28473203.0,698,4241,777040002
15395000000.0,720,3640,777040002
5644126000.0,720,3640,777040002
8068394000.0,612,3764,777040002
74821000.0,686,4183,777040002
0.0,552,2382,2
2147348000.0,552,2379,777040002
24626293.0,661,3625,777040002
6540000.0,698,4241,777040002
9022299.0,641,3652,777040002
9017173.0,633,3512,2
5364075.0,538,3312,2
6003050000.0,211,1092,777040002
1663405000.0,212,1098,777040002
2271178000.0,732,3803,2
5238041000.0,211,1092,777040002
1756000000.0,212,1098,777040002
78797822.0,647,3593,777040002
575850.0,732,3803,777040002
14128559.0,641,3652,777040002
73736931.0,212,1098,777040002
23772428.0,695,3788,2
14639578.0,342,1828,777040002
123725000.0,649,3597,777040002
8184154000.0,380,2057,777040002
68444000.0,266,1503,777040002
99999999999.0,342,1828,777040002
319887997.0,732,3803,777040002
25764000.0,354,2035,777040002
9429283.0,695,3786,777040002
74541.0,660,3622,777040002
395910.0,459,2771,777040002
1163230000.0,599,3930,777040002
14266821.0,694,3757,777040002
119099000.0,677,3733,777040002
42427030.0,677,3733,2
30022732.0,641,3652,777040002
218990000.0,471,2920,777040002
27978696.0,364,1982,777040002
18532000.0,626,3476,777040002
6362180.0,636,3526,777040002
27963000.0,695,3786,777040002
51266960.0,471,2920,777040002
7904377.0,642,3548,777040002
246793.0,732,3803,777040002
1090130.0,451,2703,777040002
16914023.0,364,1982,777040002
17327195.0,826,3664,777040002
31944000.0,823,3973,777040002
42604192.0,482,3025,777040002
6451000.0,636,3526,777040002
3406000000.0,625,3474,777040002
557779000.0,633,3512,777040002
1149050.0,440,2592,777040002
3652648.0,530,3383,777040002
3720329.0,212,1098,777040002
14507325.0,471,2920,777040002
37249972.0,677,3733,777040002
86709172.0,416,2190,777040002
114276427.0,212,1098,777040002
218169000.0,530,3383,777040002
438938000.0,694,3757,777040002
0.0,482,3025,2
13827099.0,381,2067,777040002
34818973.0,717,100,777040002
4906156.0,203,1156,777040002
142822668.0,813,4293,777040002
349600830.0,679,4053,777040002
136182000.0,380,2057,777040002
34403000.0,698,4241,2
16909749.0,694,3757,777040002
35919104.0,694,3757,777040002
388805929.0,694,3757,777040002
1586334.0,636,3526,777040002
301701000.0,641,3652,777040002
67014000.0,633,3512,2
4642748.0,636,3526,777040002
